frequency,raw
20.16,90.81
20.72,90.91
21.29,91.00
21.88,91.09
22.48,91.19
23.10,91.27
23.74,91.34
24.39,91.43
25.06,91.50
25.75,91.57
26.46,91.64
27.19,91.73
27.94,91.80
28.71,91.88
29.50,91.95
30.31,92.01
31.15,92.07
32.01,92.13
32.89,92.16
33.80,92.22
34.73,92.26
35.68,92.29
36.67,92.33
37.68,92.36
38.71,92.37
39.78,92.40
40.88,92.43
42.00,92.43
43.16,92.43
44.35,92.43
45.57,92.43
46.83,92.43
48.12,92.43
49.44,92.46
50.81,92.45
52.21,92.43
53.64,92.43
55.12,92.43
56.64,92.41
58.20,92.37
59.80,92.36
61.45,92.36
63.15,92.36
64.89,92.32
66.67,92.29
68.51,92.26
70.40,92.22
72.34,92.17
74.33,92.13
76.38,92.06
78.48,92.00
80.64,91.93
82.87,91.86
85.15,91.78
87.50,91.71
89.91,91.63
92.38,91.55
94.93,91.47
97.54,91.39
100.23,91.30
102.99,91.22
105.83,91.12
108.75,91.04
111.74,90.94
114.82,90.85
117.99,90.77
121.24,90.67
124.58,90.58
128.01,90.49
131.54,90.39
135.16,90.29
138.88,90.18
142.71,90.07
146.64,89.96
150.68,89.84
154.83,89.73
159.10,89.62
163.48,89.50
167.99,89.37
172.62,89.25
177.37,89.11
182.26,88.99
187.28,88.87
192.44,88.73
197.74,88.60
203.19,88.47
208.79,88.33
214.54,88.20
220.45,88.07
226.53,87.93
232.77,87.80
239.18,87.67
245.77,87.54
252.54,87.41
259.50,87.28
266.65,87.15
274.00,87.04
281.54,86.90
289.30,86.78
297.27,86.67
305.46,86.55
313.88,86.44
322.53,86.32
331.41,86.23
340.54,86.12
349.93,86.01
359.57,85.91
369.47,85.82
379.65,85.71
390.11,85.62
400.86,85.53
411.91,85.43
423.26,85.33
434.92,85.26
446.90,85.17
459.21,85.08
471.87,85.00
484.87,84.93
498.23,84.85
511.95,84.78
526.06,84.72
540.55,84.66
555.45,84.59
573.34,84.52
589.14,84.49
604.00,84.44
622.05,84.37
639.19,84.37
656.80,84.34
674.89,84.32
693.49,84.30
712.59,84.30
732.23,84.30
752.40,84.27
773.13,84.27
794.43,84.30
816.32,84.30
838.81,84.37
860.75,84.39
885.67,84.49
910.07,84.54
935.15,84.60
960.91,84.69
987.39,84.76
1014.59,84.86
1042.55,84.95
1071.27,85.10
1100.79,85.25
1131.11,85.43
1162.28,85.61
1194.30,85.80
1227.21,86.00
1261.02,86.25
1292.83,86.49
1331.46,86.79
1368.15,87.08
1405.84,87.39
1444.58,87.69
1491.12,88.10
1532.20,88.47
1574.41,88.89
1614.13,89.27
1651.11,89.69
1688.93,90.13
1723.71,90.57
1755.23,90.97
1787.32,91.43
1815.89,91.83
1844.91,92.23
1878.64,92.71
1912.99,93.16
1952.38,93.67
1997.11,94.14
2047.49,94.54
2106.76,94.83
2161.87,94.86
2221.43,94.71
2282.64,94.35
2334.93,93.95
2377.62,93.54
2421.09,93.06
2459.79,92.63
2493.44,92.18
2527.56,91.77
2562.14,91.37
2597.20,90.94
2632.73,90.52
2668.75,90.08
2705.27,89.68
2748.50,89.22
2798.76,88.73
2856.39,88.25
2921.83,87.86
2995.54,87.48
3078.07,87.32
3162.88,87.44
3250.02,87.80
3339.56,88.22
3431.57,88.65
3526.12,88.94
3623.27,89.12
3723.10,89.17
3825.68,89.18
3931.08,89.23
4039.39,89.34
4150.68,89.60
4245.77,89.96
4323.40,90.37
4392.49,90.86
4452.59,91.33
4513.51,91.78
4575.27,92.27
4637.87,92.78
4701.33,93.24
4776.46,93.71
4885.87,94.15
5020.49,94.18
5123.88,93.84
5193.99,93.37
5253.14,92.89
5300.95,92.44
5349.19,91.96
5385.66,91.41
5426.48,90.94
5471.73,90.41
5517.36,89.81
5550.79,89.34
5597.07,88.90
5643.75,88.31
5699.42,87.77
5751.28,87.31
5816.79,86.81
5896.37,86.35
5977.05,85.96
6058.83,85.54
6141.73,85.12
6211.68,84.76
6282.42,84.32
6368.38,83.87
6455.51,83.42
6558.68,82.95
6693.75,82.49
6862.61,82.11
7051.69,81.98
7245.98,82.20
7411.96,82.67
7530.41,83.20
7616.18,83.63
7685.49,84.02
7755.44,84.48
7826.02,84.90
7897.24,85.36
7969.11,85.79
8041.64,86.18
8133.23,86.65
8300.72,87.16
8510.12,87.21
8665.73,86.78
8764.42,86.28
8864.24,85.78
8944.91,85.20
9026.32,84.64
9122.23,84.10
9233.09,83.67
9423.23,83.28
9639.10,83.51
9793.14,83.96
9927.13,84.47
10062.96,84.95
10177.56,85.43
10270.19,85.84
10363.66,86.23
10457.98,86.62
10577.08,87.11
10721.80,87.67
10868.50,88.18
11092.32,88.64
11346.42,88.54
11501.67,88.07
11597.58,87.55
11667.84,87.05
11738.53,86.65
11809.64,86.18
11872.22,85.63
11926.12,85.17
11980.26,84.69
12034.66,84.20
12089.30,83.70
12144.18,83.16
12199.32,82.59
12254.71,82.02
12310.34,81.44
12366.23,80.84
12422.38,80.26
12478.78,79.64
12535.43,79.04
12582.84,78.39
12649.52,77.77
12706.95,77.15
12764.64,76.53
12822.59,75.90
12880.81,75.30
12929.52,74.65
12988.23,74.01
13057.05,73.42
13116.33,72.84
13175.88,72.28
13235.70,71.69
13295.79,71.15
13356.16,70.58
13416.79,70.05
13477.71,69.57
13538.90,69.06
13600.37,68.58
13662.11,68.11
13724.14,67.67
13786.45,67.28
13849.04,66.87
13922.43,66.39
14027.94,65.91
14166.29,65.37
14360.12,64.84
14655.85,64.72
14923.82,65.26
15036.92,65.72
15162.32,66.30
15288.76,66.91
15381.38,67.52
15497.95,68.04
15591.84,68.65
15721.86,69.20
15876.93,69.94
16009.33,70.47
16191.66,70.97
16525.11,71.27
16827.26,71.00
16980.40,70.60
17134.94,70.07
17225.74,69.57
17356.28,69.08
17448.25,68.62
17527.46,68.21
17607.04,67.84
17686.98,67.38
17767.28,66.94
17847.95,66.52
17928.98,66.06
18010.38,65.60
18092.15,65.12
18174.29,64.68
18256.80,64.20
18339.69,63.71
18422.95,63.22
18506.60,62.72
18590.62,62.21
18675.02,61.68
18759.81,61.11
18844.98,60.57
18930.54,60.02
19016.49,59.47
19088.41,58.82
19189.56,58.27
19276.68,57.70
19349.58,57.03
19452.11,56.45
19540.43,55.87
19629.15,55.30
19718.26,54.74
19807.79,54.20
19897.72,53.68
